wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59266	-38.2193	-41.3677	-42.4227	-46.4785	-42.4936	-42.6773	-46.7284	-46.5426
1.59265	-39.0755	-42.2934	-43.8792	-46.9729	-43.8866	-46.7535	-44.3515	-41.1439
1.59264	-40.2328	-44.2499	-46.1648	-48.3343	-45.58	-54.3413	-41.5851	-37.871
1.59263	-41.3833	-47.9751	-49.2184	-50.5589	-47.0543	-52.9856	-39.6418	-35.8687
1.59262	-41.8314	-56.8268	-51.2333	-53.0285	-47.4507	-46.3587	-38.4798	-34.6985
1.59261	-41.0775	-56.1463	-49.4567	-53.1441	-46.6791	-42.8908	-37.9832	-34.1674
1.59261	-39.6115	-47.0647	-46.771	-50.6978	-45.5802	-40.9258	-38.0983	-34.1983
1.5926	-38.1498	-42.8807	-44.9075	-48.3486	-44.7503	-39.8902	-38.8383	-34.7872
1.59259	-37.0279	-40.4019	-43.9387	-46.7921	-44.3837	-39.5629	-40.2921	-36.0028
1.59258	-36.3476	-38.8972	-43.7955	-45.9899	-44.5206	-39.8688	-42.6465	-38.0313
1.59257	-36.1459	-38.0986	-44.5105	-45.8538	-45.158	-40.8275	-46.0733	-41.34
1.59256	-36.4677	-37.9005	-46.305	-46.3189	-46.2556	-42.5652	-48.8569	-47.4566
1.59255	-37.4071	-38.2828	-49.8771	-47.2924	-47.6485	-45.4158	-46.4751	-59.0221
1.59254	-39.1703	-39.2947	-58.1376	-48.4892	-48.8511	-50.3564	-42.9869	-46.3223
1.59253	-42.2618	-41.0686	-57.3326	-49.1766	-49.118	-62.0243	-40.5483	-41.2782
1.59252	-48.3808	-43.8327	-48.7367	-48.6113	-48.3627	-55.0126	-39.0228	-38.5808
1.59251	-58.5981	-47.4945	-44.5884	-47.1944	-47.308	-48.6603	-38.2087	-37.0381
1.5925	-45.572	-48.416	-42.1264	-45.781	-46.5199	-45.7215	-38.0011	-36.2546
1.59249	-40.3985	-44.9064	-40.6524	-44.7833	-46.2178	-44.2906	-38.3717	-36.0635
1.59249	-37.461	-41.7721	-39.9117	-44.3179	-46.4776	-43.858	-39.3621	-36.3912
1.59248	-35.6487	-39.7013	-39.8149	-44.4191	-47.3431	-44.2705	-41.1134	-37.2064
